summary,comment_clean,label
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",luận điệu của bọn phản động xỏ lá 3ba que viết bài này. không biết nguyên nhân gì cứ viết lăng nhăng nói xấu việt nam.,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",vậy ông bảo đại ông diệm ông thiệu là đảng viên cộng sản chính hiệu vì mấy ông mới địch thực là bán nước hại dân nên dân việt nam mới cho chết thảm và chạy tụt quần theo về mẫu quốc rồi chết rục ở đó.,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",muôn đời của đám 3ba que,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",già rồi mà đần vậy cháu cộng sản đánh mỹ đánh pháp đánh tàu đánh cam phu chia xây dựng đất nước từ đống tro tàn bây giờ việt nam kinh tế đứng thứ 33 thế giới 22 châu á đối tác chiến lược với mỹ nhật nga trung quốc pháp ấn độ úc nhục chỗ nào cháu chính lũ bán nước vong nô lưu vong ăn tàn phá hoại theo mỹ để kiếm ăn như cháu mới nhục. sống một đời làm gì mà uổng phí vậy cháu,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",đúng là 3ba que xỏ lá bác hồ mất nên các bác khóc 3ba que có nhìn thấy trên ngực áo của mọi người có dải băng đen không 3ba que,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",uỷ viên bộ chống bè lũ 3ba que anh ạ,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",đừng tin vào 3ba que,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",đúng là xuyên tạc xỏ lá 3ba que,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",thường xuyên đánh tráo khái niệm nên người việt mới gọi việt tân là 3ba que,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",chúng mày còn nói tiếng việt được á 3ba que theo bố mỹ phải nói tiếng bố đi,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",tôi nói ở một cái nhóm về vấn đề này nó không phản biện được gì. báo cáo với xoá tôi khỏi nhóm luôn cái bọn 3ba que này nó chỉ căn thôi bạn,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",gào thế 3ba que lúc này ổn không,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",đảng cộng sản việt nam không đồng ý thì chính phủ thủ tướng phạm văn đồng có dám ký không,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",đừng nói láo đồ 3ba que,KHONG_PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",lenin cộng mao cộng ho chi minh bằng 3ba que,PHAN_DONG
"1. Nội dung sơ lược: Bài viết chỉ trích Phạm Văn Đồng vì bức ảnh được cho là thân thiện với Trung Quốc trong bối cảnh chiến tranh biên giới và việc ký văn bản liên quan đến Hoàng Sa, Trường Sa. Tác giả cáo buộc ông phản bội lại những người đã hy sinh và bán nước.

2. Vấn đề: Tính chính xác của thông tin về bức ảnh và văn bản ký kết, cũng như việc quy kết động cơ và ý nghĩa của hành động của Phạm Văn Đồng.

3. Phản động/tin giả: Có. Bài viết mang tính chất công kích, xuyên tạc lịch sử và kích động hận thù dân tộc, bôi nhọ lãnh đạo.",nhìn hình ảnh đọc nội dung nhiều người không hiểu biết không có bản lĩnh đã bị bọn 3ba que xỏ lá nó dắt mũi,KHONG_PHAN_DONG
